object_name,galactic_l_deg,galactic_b_deg,distance_to_sun_Lj,brightness_mag,object_type
M 61,284.370913217398,66.27584592458008,56984178.56004078,9.65,GX
M 100,271.1368029341275,76.89893250610915,52587736.58252705,9.35,GX
NGC 4365,283.80700196493575,69.18187261774729,71654273.08482197,0.0,GX
M 84,278.2044687961431,74.47836102488809,57747617.45268695,10.49,GX
M 85,267.71198486906735,79.23722035833615,57120853.613550834,0.0,GX
NGC 4395,162.0947693529751,81.53289030465753,14525607.249462562,10.11,GX
M 86,279.08350923925116,74.6368609589665,56573635.69097462,8.9,GX
NGC 4429,282.37966405144493,73.01475013320123,55423508.64433088,0.0,GX
NGC 4438,280.34794110286475,74.83269549835003,53934849.397439085,10.17,GX
NGC 4442,284.17668637449674,71.81919338424062,53343155.13453316,0.0,GX
NGC 4449,136.8530746385121,72.40073691328438,13222307.072537068,9.64,GX
NGC 4450,273.9114942333341,78.64221779247185,54974519.44510831,10.08,GX
NGC 4459,280.1080051851293,75.84635972196565,55799920.2838884,0.0,GX
M 49,286.9220079325951,70.19602192902752,56644629.062519446,12.17,GX
NGC 4473,281.61704382653863,75.39870018203779,60692483.38688995,10.2,GX
NGC 4477,281.54433332504846,75.61205357768158,60226283.614522964,10.42,GX
M 87,283.77775499496283,74.49115452393593,57456522.885594666,8.63,GX
M 88,282.3285090314148,76.50769907911273,61238197.366169006,13.18,GX
NGC 4526,290.1595175312618,70.13852265514026,54380949.78303064,0.0,GX
NGC 4535,290.0720009595295,70.64137300668884,51675212.923819974,0.0,GX
M 91,285.693114843167,76.82962416465362,55087812.192588896,13.57,GX
M 89,287.9324508148107,74.96680928269059,51302310.81051628,9.75,GX
M 90,288.4672049671552,75.62283017810918,49160800.65021243,9.54,GX
M 58,290.396937840577,74.35537416196549,59056613.45892577,9.66,GX
NGC 4596,293.299202278159,72.83237568818771,52901477.27411058,0.0,GX
NGC 4605,125.33250757047607,55.465734572841036,16088404.594272422,0.0,GX
M 59,294.36367183203515,74.36207425540746,50461051.00615222,0.0,GX
NGC 4627,142.9517968981058,84.1833605424118,28871362.553510766,12.43,GX
NGC 4631,142.80526663493384,84.22342893987363,24198473.536514457,9.19,GX
M 60,295.872974637113,74.31782639807018,57399282.441309296,0.0,GX
NGC 4654,295.4282303330218,75.88880143204999,51746774.97827974,0.0,GX
NGC 4656,140.33302515723966,84.7030012105936,22604838.529773295,10.52,GX
NGC 4657,139.72510764360462,84.68378401067676,30000000.0,0.0,GX
NGC 4696,302.40359294843745,21.55814546279655,140292496.60600916,0.0,GX
NGC 4709,302.65516896242053,21.489039224495667,170601529.2926988,11.32,GX
NGC 4729,302.9995564059363,21.739456638622897,137370543.1573392,0.0,GX
NGC 4730,303.0476092744164,21.72468722305246,181041251.34873462,0.0,GX
NGC 4743,303.0989642041187,21.480978157942438,128577367.2146974,13.31,GX
NGC 4762,304.27116544779693,74.09865673400456,58344728.241151035,0.0,GX
NGC 4872,57.82564962182292,88.02045352763551,315817220.52151465,14.1,GX
NGC 4889,57.19651723643285,87.89379429821592,309643546.2294416,11.3,GX
NGC 4945,305.2715458699348,13.340162753575358,13714269.963063551,14.4,GX
NGC 5102,309.7315267931927,25.83832806079741,11937323.423616067,9.65,GX
NGC 5204,113.50080939024906,58.00513548747068,15269554.415727466,0.0,GX
NGC 5206,310.18440235572956,14.124168591253403,12002554.699154953,0.0,GX
NGC 5237,311.87814278205974,19.22063387318066,11257054.407281974,12.67,GX
NGC 5248,335.9293401643316,68.75051600834936,44719083.508097894,0.0,GX
NGC 5253,314.8603460262455,30.105957693460546,11303356.96447252,10.49,GX
NGC 5264,315.71611194285833,31.71004151373129,14915131.151966194,12.39,GX
NGC 5291,317.0021591254273,30.9308629610057,191086867.78172302,14.0,GX
NGC 5298,317.2875181291856,30.844620649076088,172553031.61923712,13.09,GX
NGC 5300,335.7501179136943,63.142661524257576,59222822.74899884,0.0,GX
NGC 5302,317.3159679315781,30.75268799068249,175887980.58116266,12.2,GX
NGC 5334,333.04101795229036,58.11772803005975,83023105.94211665,0.0,GX
NGC 5348,340.0273446966576,63.48483530144486,51598795.111749955,0.0,GX
NGC 5356,340.52476835777657,63.46814501197904,75921376.97419818,0.0,GX
NGC 5360,340.41399556917605,63.08457079977371,73548263.1700935,0.0,GX
NGC 5363,340.9607774510656,63.2458631695606,91808209.51441048,10.51,GX
NGC 5364,340.7056626502105,63.03402685457904,55490887.11602292,0.0,GX
NGC 5470,346.55209964475074,62.3590222464707,62605716.69844545,0.0,GX
NGC 5496,340.4571021979587,55.75783173037864,72930160.59476505,0.0,GX
NGC 5506,339.1502221543571,53.81007667001472,91584710.85659538,14.38,GX
NGC 5507,339.2325681202501,53.849081876279364,99423335.80051814,12.46,GX
NGC 5560,349.2524347563529,58.64962070534529,78299274.40517569,12.37,GX
NGC 5566,349.2728578837526,58.56333219225093,80812231.63903084,10.55,GX
NGC 5569,349.4091636749342,58.56811288104512,71002612.6421885,0.0,GX
NGC 5574,348.643471029736,57.933461429278175,79264945.7832485,12.39,GX
NGC 5576,348.72979628821366,57.93838333475388,80209101.19456416,10.96,GX
NGC 5577,348.9855847451262,58.03978526699937,75135883.69791743,0.0,GX
NGC 5584,345.1146627135183,54.85593770623371,75800291.41897912,0.0,GX
NGC 5636,351.71734410113777,56.530342004576674,90695934.72737807,0.0,GX
NGC 5638,351.68488602959445,56.50207811916325,79009052.80806307,11.2,GX
NGC 5645,357.3364005201616,59.217986364731146,55902387.74588072,0.0,GX
NGC 5658,349.22937922279294,53.82543727933454,79940928.17290431,0.0,GX
NGC 5668,354.4335999795069,56.75194248610125,89203769.29942606,0.0,GX
NGC 5669,1.930838337622546,60.5569083182678,57456251.088613264,0.0,GX
NGC 5690,353.15511249048626,54.45349814160504,69340324.04763108,0.0,GX
NGC 5691,350.196978201983,52.420146134677594,88641149.54790318,0.0,GX
NGC 5692,354.69301312772006,55.154454879384566,87850220.33199419,0.0,GX
NGC 5701,357.44606461583845,56.364675274529965,81588017.88026117,10.88,GX
