object_name,galactic_l_deg,galactic_b_deg,distance_to_sun_Lj,brightness_mag,object_type
NGC 104 68,306.00339465988304,-44.96572542336911,0.0,12.36,Star
NGC 104 69,96.33728336969006,-60.188551946914465,0.0,14.11,Star
NGC 104 73,96.33728336969006,-60.188551946914465,0.0,14.06,Star
NGC 104 75,305.91961913075625,-45.02040037451776,16393.895955906057,13.86,Star
NGC 104 76,96.33728336969006,-60.188551946914465,0.0,11.71,Star
NGC 104 77,96.33728336969006,-60.188551946914465,0.0,12.01,Star
NGC 104 78,96.33728336969006,-60.188551946914465,0.0,12.04,Star
NGC 104 81,305.93900702852557,-45.0093953995048,14872.429997966889,11.796,Star
NGC 104 83,96.33728336969006,-60.188551946914465,0.0,14.29,Star
NGC 104 86,96.33728336969006,-60.188551946914465,0.0,14.66,Star
NGC 104 87,96.33728336969006,-60.188551946914465,0.0,12.98,Star
NGC 104 89,96.33728336969006,-60.188551946914465,0.0,14.36,Star
NGC 104 90,96.33728336969006,-60.188551946914465,0.0,13.2,Star
NGC 104 92,305.93034217762784,-44.97379114612734,13941.250060647935,12.84,Star
NGC 104 95,96.33728336969006,-60.188551946914465,0.0,12.73,Star
NGC 104 100,96.33728336969006,-60.188551946914465,0.0,14.15,Star
NGC 104 105,96.33728336969006,-60.188551946914465,0.0,13.89,Star
NGC 104 113,96.33728336969006,-60.188551946914465,0.0,13.41,Star
NGC 104 114,96.33728336969006,-60.188551946914465,0.0,0.0,Star
NGC 104 115,305.9852588629414,-44.943817308610534,16743.139802030153,11.9,Star
NGC 104 122,96.33728336969006,-60.188551946914465,0.0,14.58,Star
NGC 104 124,96.33728336969006,-60.188551946914465,0.0,14.66,Star
NGC 104 125,305.9194131636943,-44.90426105682941,0.0,13.07,undefined
NGC 104 130,96.33728336969006,-60.188551946914465,0.0,14.5,Star
NGC 104 132,96.33728336969006,-60.188551946914465,0.0,14.66,Star
NGC 104 133,96.33728336969006,-60.188551946914465,0.0,14.63,Star
NGC 104 139,306.004487789124,-44.88428860081989,16348.41067670736,12.6,Star
NGC 104 155,96.33728336969006,-60.188551946914465,0.0,13.72,Star
NGC 104 162,96.33728336969006,-60.188551946914465,0.0,13.46,Star
NGC 104 164,306.02135894740724,-44.868627903237474,13974.137386679997,12.579,Star
NGC 104 167,96.33728336969006,-60.188551946914465,0.0,13.88,Star
NGC 104 173,96.33728336969006,-60.188551946914465,0.0,14.98,Star
NGC 104 174,96.33728336969006,-60.188551946914465,0.0,14.18,Star
NGC 104 175,96.33728336969006,-60.188551946914465,0.0,14.18,Star
NGC 104 177,96.33728336969006,-60.188551946914465,0.0,13.13,Star
NGC 104 179,96.33728336969006,-60.188551946914465,0.0,14.14,Star
NGC 104 181,96.33728336969006,-60.188551946914465,0.0,13.18,Star
NGC 104 182,96.33728336969006,-60.188551946914465,0.0,14.28,Star
NGC 104 185,96.33728336969006,-60.188551946914465,0.0,13.61,Star
NGC 104 193,96.33728336969006,-60.188551946914465,0.0,0.0,Star
NGC 104 199,96.33728336969006,-60.188551946914465,0.0,14.19,Star
NGC 104 200,96.33728336969006,-60.188551946914465,0.0,14.59,Star
NGC 104 201,96.33728336969006,-60.188551946914465,0.0,13.3,Star
NGC 104 202,96.33728336969006,-60.188551946914465,0.0,14.36,Star
NGC 104 204,96.33728336969006,-60.188551946914465,0.0,14.74,Star
NGC 104 206,96.33728336969006,-60.188551946914465,0.0,11.83,Star
NGC 104 207,96.33728336969006,-60.188551946914465,0.0,14.86,Star
NGC 104 212,96.33728336969006,-60.188551946914465,0.0,11.88,Star
NGC 104 213,96.33728336969006,-60.188551946914465,0.0,0.0,Star
NGC 104 214,96.33728336969006,-60.188551946914465,0.0,12.37,Star
NGC 104 221,305.88891313231034,-44.79266777261491,13416.55348962871,0.0,Star
NGC 104 222,96.33728336969006,-60.188551946914465,0.0,14.17,Star
NGC 104 223,96.33728336969006,-60.188551946914465,0.0,14.52,Star
NGC 104 228,96.33728336969006,-60.188551946914465,0.0,12.29,Star
NGC 104 237,96.33728336969006,-60.188551946914465,0.0,0.0,Star
NGC 104 238,96.33728336969006,-60.188551946914465,0.0,14.43,Star
NGC 104 244,96.33728336969006,-60.188551946914465,0.0,14.04,Star
NGC 104 245,96.33728336969006,-60.188551946914465,0.0,13.92,Star
NGC 104 246,96.33728336969006,-60.188551946914465,0.0,14.14,Star
NGC 104 248,96.33728336969006,-60.188551946914465,0.0,14.18,Star
NGC 104 250,96.33728336969006,-60.188551946914465,0.0,14.68,Star
NGC 104 253,96.33728336969006,-60.188551946914465,0.0,13.09,Star
NGC 104 254,305.817460973459,-44.8552004498311,0.0,0.0,Star
NGC 104 263,96.33728336969006,-60.188551946914465,0.0,14.29,Star
NGC 104 265,96.33728336969006,-60.188551946914465,0.0,13.95,Star
NGC 104 267,96.33728336969006,-60.188551946914465,0.0,14.37,Star
NGC 104 271,96.33728336969006,-60.188551946914465,0.0,12.56,Star
NGC 104 275,96.33728336969006,-60.188551946914465,0.0,14.93,Star
NGC 104 277,96.33728336969006,-60.188551946914465,0.0,12.3,Star
NGC 104 280,96.33728336969006,-60.188551946914465,0.0,12.24,Star
NGC 104 284,96.33728336969006,-60.188551946914465,0.0,12.11,Star
NGC 104 285,96.33728336969006,-60.188551946914465,0.0,14.09,Star
NGC 104 286,96.33728336969006,-60.188551946914465,0.0,14.18,Star
NGC 104 287,96.33728336969006,-60.188551946914465,0.0,13.29,Star
NGC 104 290,96.33728336969006,-60.188551946914465,0.0,14.45,Star
NGC 104 293,96.33728336969006,-60.188551946914465,0.0,13.22,Star
NGC 104 295,96.33728336969006,-60.188551946914465,0.0,14.61,Star
NGC 104 298,96.33728336969006,-60.188551946914465,0.0,14.84,Star
NGC 104 300,305.712320020322,-44.87512372842097,15703.248899899456,11.81,Star
NGC 104 301,96.33728336969006,-60.188551946914465,0.0,10.16,Star
NGC 104 343,96.33728336969006,-60.188551946914465,0.0,12.59,Star
NGC 104 346,96.33728336969006,-60.188551946914465,0.0,12.48,Star
NGC 104 347,305.77522944370065,-44.823545958397396,0.0,11.834,Star
NGC 104 354,96.33728336969006,-60.188551946914465,0.0,12.67,Star
NGC 104 364,305.91198980611034,-44.77434284393549,0.0,12.45,Star
NGC 104 383,96.33728336969006,-60.188551946914465,0.0,11.83,Star
NGC 104 384,305.9560933307873,-44.85780695433176,0.0,12.29,Star
NGC 104 410,96.33728336969006,-60.188551946914465,0.0,12.84,Star
NGC 104 413,305.84156116999577,-45.04139743421842,14034.274099599297,11.922,Star
NGC 104 415,96.33728336969006,-60.188551946914465,0.0,11.83,Star
NGC 104 537,96.33728336969006,-60.188551946914465,0.0,14.18,Star
NGC 105,113.09135144116817,-49.48741729883542,214012943.16382718,0.0,GX
NGC 106,105.60486307891806,-67.11764712395377,226548219.9465497,0.0,GX
NGC 107,103.8296498516002,-70.19424951477663,257891847.8429842,0.0,GX
NGC 108,116.28607274885238,-33.33115309128688,218198616.67757237,0.0,GX
NGC 109,115.21240898304926,-40.686459112436204,239888015.7942518,0.0,GX
NGC 110,121.00013988248666,8.640394872019884,5662.07471677527,0.0,OS
NGC 111,96.33728336969006,-60.188551946914465,0.0,0.0,undefined
NGC 112,116.82953913632689,-30.876465521265374,273018980.6404518,0.0,GX
NGC 113,108.48138500692735,-64.68228937034067,173906580.58666903,0.0,GX
NGC 114,108.87682190152402,-63.98824137644304,182802495.78828454,0.0,GX
NGC 115,340.49215209414564,-81.56755862290265,88725868.66700931,0.0,GX
NGC 116,105.2958005994894,-69.70184880725857,0.0,0.0,GX
NGC 117,110.37316710745037,-60.94528524896547,234897823.21552703,0.0,GX
NGC 118,109.04679278505094,-63.99844035079898,0.0,0.0,GX
NGC 119,309.57049311212745,-59.8335696665574,329776713.48683614,0.0,GX
NGC 120,109.3031948064655,-63.75003264292239,172797648.90250796,0.0,GX
NGC 121,305.70694274366537,-45.45924651242686,221786.33683221106,11.24,KS
NGC 124,109.36811142343652,-64.05969816986652,158683231.65778157,0.0,GX
NGC 125,111.7460783402256,-59.541201309755955,238322465.18131855,0.0,GX
NGC 126,111.88167005517904,-59.58132603056478,0.0,0.0,GX
NGC 127,111.93722651692812,-59.523769940940326,0.0,0.0,GX
NGC 128,111.95577504842744,-59.534037025245304,0.0,0.0,GX
NGC 129,120.32277892757845,-2.5522679262679056,5635.329893804327,6.5,OS
NGC 129 1,120.4162957966648,-2.5543409308230474,6559.657937940676,15.03,Star
NGC 129 2,120.41582682067597,-2.540432522016319,6136.114201274092,13.7,Star
NGC 129 3,120.40834545680039,-2.5340653570353076,2247.131500109086,13.0,Star
NGC 129 4,120.40557684555085,-2.5770591135751144,7994.816884448912,13.4,Star
NGC 129 5,120.4045515648956,-2.556645810278222,0.0,13.5,Star
NGC 129 5A,120.4046630269605,-2.5566557025649126,0.0,0.0,Star
NGC 129 5B,120.40440699257047,-2.5566200851334604,5802.566576467145,0.0,Star
NGC 129 6,120.40405268728166,-2.6048656281674765,6618.7525812332415,14.95,Star
NGC 129 7,120.40068543573813,-2.551163942841728,6403.951426823319,14.47,Star
NGC 129 8,120.39970517435611,-2.5919053206435874,6448.817171982587,13.8,Star
NGC 129 9,120.39984646024519,-2.6155769331320875,6193.898783116251,13.5,Star
NGC 129 10,120.39607839930633,-2.5550839876322007,11120.171071862256,14.8,Star
NGC 129 11,120.39314836808262,-2.4947296343245156,9785.839075125947,13.2,Star
NGC 129 12,120.39115706625272,-2.640290573553579,6001.721085329329,14.86,Star
NGC 129 13,120.39191614100754,-2.5740806129525837,1222.7388967336715,12.74,Star
NGC 129 14,120.38946583951834,-2.558436278005475,6415.327108964546,14.13,Star
NGC 129 15,120.38671250735584,-2.543861234036747,6657.826223999826,13.7,Star
NGC 129 16,120.38682642771164,-2.580769377235847,9672.49027534218,12.26,Star
